Logistics Balance Model — Ukraine vs Russia,,,,
All values in $B per week unless noted,,,,
Open in Excel or LibreOffice and edit the gray INPUT cells; formulas in green auto-recompute,,,,
,,,,
=== UKRAINE INPUTS ===,Value,Notes,,
Western aid inflow,1.50,Subject to US/EU political decisions,,
Domestic revenue inflow,1.00,Tax + EU macro-financial assistance,,
Frontline consumption,1.50,Ammunition + fuel + food,,
Air defense consumption,0.40,Interceptor spend,,
Russian drone damage absorbed,0.40,From the dashboard's cost panel,,
Russian missile damage absorbed,0.30,Iskander + cruise + Shahed leakage,,
Stock_UA (foreign aid pipeline + reserves $B),80.00,~1 year aid runway,,
,,,,
=== RUSSIA INPUTS ===,Value,Notes,,
Oil/gas revenue,4.60,$240B/yr at $75/bbl,,
Other tax revenue,0.50,Domestic taxation,,
Iran/China critical imports,0.30,Components & ammunition,,
Frontline ground ops cost,1.80,Largest line item,,
Drone production cost,0.05,Cheap relative to scale,,
Russian air defense cost,0.05,Including against UA strikes,,
Domestic war economy support,0.80,Subsidies + wages + bonuses,,
Ukraine deep-strike damage to RU,0.75,Refineries + airfields + depots,,
Inefficiency / waste,0.10,Corruption + breakage,,
Stock_R (NWF liquid),55.00,Down from $150B in 2022,,
,,,,
=== COMPUTED — UKRAINE BALANCE ===,Formula,Result,,
Supply s_UA,=B5+B6,=B5+B6,,
Consumption c_UA,=B7+B8,=B7+B8,,
Damage taken d_R→U,=B9+B10,=B9+B10,,
Net change Δ_UA per week,=B25-B26-B27,=B25-B26-B27,,
Weeks to depletion T_UA,"=IF(B28<0, B11/(-B28), ""NOT DEPLETING"")","=IF(B28<0, B11/(-B28), ""NOT DEPLETING"")",,
,,,,
=== COMPUTED — RUSSIA BALANCE ===,Formula,Result,,
Supply s_R,=B14+B15+B16,=B14+B15+B16,,
Consumption c_R,=B17+B18+B19+B20,=B17+B18+B19+B20,,
Damage taken d_U→R,=B21+B22,=B21+B22,,
Net change Δ_R per week,=B33-B34-B35,=B33-B34-B35,,
Weeks to depletion T_R,"=IF(B36<0, B23/(-B36), ""NOT DEPLETING — BUILDING"")","=IF(B36<0, B23/(-B36), ""NOT DEPLETING — BUILDING"")",,
,,,,
=== EQUILIBRIUM ANALYSIS ===,Formula,Result,,
Russia's net surplus per week,=B36,=B36,,
UA strike damage required to flip RU to deficit,=B33-B34+0.01,=B33-B34+0.01,,
Current UA strike damage,=B21,=B21,,
Multiplier needed,=B41/B42,=B41/B42,,
Current UA strikes per week,150,150,,
Required UA strikes per week,=B44*B43,=B44*B43,,
,,,,
=== SENSITIVITY — WHAT BREAKS RUSSIA EARLIEST ===,Δ_R if scenario applied,,,,
Status quo,=B36,,,,
Oil drops to $40/bbl (s_R falls 1.10),=B36-1.10,,,,
Iran imports cut off (s_R falls 0.30),=B36-0.30,,,,
UA strikes double (d_U→R rises 0.75),=B36-0.75,,,,
UA strike accuracy doubles (per-hit value 2×),=B36-0.75,,,,
COMBINED: low oil + double UA strikes,=B36-1.10-0.75,,,,
ALL THREE: low oil + no Iran + double UA strikes,=B36-1.10-0.30-0.75,,,,
,,,,
=== EQUILIBRIUM CONDITIONS ===,,,,
Δ_UA = 0 requires:,d_R→U = s_UA - c_UA,=B25-B26,(Ukraine balances when this much damage absorbed),
Δ_R = 0 requires:,d_U→R = s_R - c_R,=B33-B34,(Russia balances when this much damage inflicted),
,,,,
Status quo verdict:,"=IF(B36>0, ""Russia building reserves"", IF(B36<0, ""Russia depleting"", ""Russia balanced""))","=IF(B36>0, ""Russia building reserves"", IF(B36<0, ""Russia depleting"", ""Russia balanced""))",,
Time-to-collapse comparison:,"=IF(AND(B28<0, B36<0), IF(B11/(-B28)<B23/(-B36), ""Ukraine depletes first"", ""Russia depletes first""), ""Status quo / not depleting"")","=IF(AND(B28<0, B36<0), IF(B11/(-B28)<B23/(-B36), ""Ukraine depletes first"", ""Russia depletes first""), ""Status quo / not depleting"")",,
