oblast,lat,lon,border_dist,pop,energy,area,target_weight,share,observed_may9_10
Kyiv City,50.45,30.52,280,3.0,9,0.005,4.6448779556871145,0.0750204982932059,3
Kyiv Oblast,50.1,30.6,260,1.8,6,0.05,3.333068665141524,0.0538331630001672,4
Kharkiv,49.99,36.23,30,2.6,7,0.05,4.4916152294928295,0.0725451165504428,8
Odesa,46.48,30.73,220,2.4,6,0.06,3.565424715570729,0.057585999318137,2
Lviv,49.84,24.03,900,2.5,5,0.04,1.0132395347371188,0.0163650661032513,0
Dnipropetrovsk,48.45,35.05,150,3.1,8,0.05,4.605933918186459,0.0743915041351847,5
Donetsk,48.0,37.8,10,4.0,4,0.04,3.862964868042499,0.0623916391462704,4
Zaporizhzhia,47.85,35.12,60,1.6,6,0.04,3.7910619646375854,0.0612303187211427,3
Mykolaiv,46.97,31.99,120,1.1,5,0.04,3.136227331022577,0.0506539330804182,2
Kherson,46.65,32.62,40,1.0,3,0.04,2.657256127053939,0.0429179583717978,4
Poltava,49.59,34.55,150,1.4,6,0.05,3.4809339181864583,0.0562213689055774,2
Sumy,50.91,34.8,25,1.0,4,0.04,3.0591195942202134,0.0494085481871312,5
Chernihiv,51.5,31.3,40,1.0,4,0.05,3.0072561270539397,0.0485708893321201,6
Vinnytsia,49.23,28.47,500,1.5,5,0.04,2.554757195290285,0.0412624744153215,1
Cherkasy,49.44,32.06,300,1.2,5,0.04,2.758549829111522,0.0445539763845034,1
Kirovohrad,48.51,32.26,300,0.9,4,0.04,2.3335498291115218,0.0376897030755407,1
Zhytomyr,50.27,28.66,450,1.2,4,0.05,2.1869787010375243,0.0353223988818868,1
Rivne,50.62,26.25,650,1.1,6,0.03,2.6703675128062905,0.0431297233959469,0
Volyn,50.75,25.32,800,1.0,3,0.03,0.6012011699419676,0.0097101391627054,0
Ternopil,49.55,25.59,750,1.0,3,0.02,0.612012980106957,0.0098847632096163,0
Khmelnytskyi,49.42,26.99,600,1.2,4,0.03,2.0346952402226446,0.0328628334807855,1
Ivano-Frankivsk,48.92,24.71,900,1.3,3,0.02,0.6132395347371186,0.0099045735771687,0
Chernivtsi,48.29,25.94,800,0.9,2,0.01,0.4512011699419676,0.0072874544654245,0
Zakarpattia,48.62,22.3,1000,1.2,2,0.02,0.4492509991743392,0.0072559568062523,0
