oblast,border_dist,energy,pop,Mon May 11,Tue May 12,Wed May 13,Thu May 14,Fri May 15,Sat May 16,Sun May 17,Week total
Kyiv City,280,9,3.0,2.6,6.6,10.2,11.8,13.4,17.8,19.6,82.0
Dnipropetrovsk,150,8,3.1,2.6,6.5,10.2,11.7,13.3,17.7,19.5,82.0
Kharkiv,30,7,2.6,3.3,8.3,9.9,11.4,12.9,16.4,18.0,80.0
Donetsk,10,4,4.0,3.2,7.9,8.5,9.8,11.1,12.3,13.5,66.0
Zaporizhzhia,60,6,1.6,3.1,7.8,8.4,9.6,10.9,12.0,13.2,65.0
Odesa,220,6,2.4,2.2,5.6,7.9,9.1,10.3,11.9,13.1,60.0
Poltava,150,6,1.4,2.2,5.5,7.7,8.9,10.0,11.6,12.8,59.0
Kyiv Oblast,260,6,1.8,2.1,5.2,7.3,8.5,9.6,11.1,12.2,56.0
Mykolaiv,120,5,1.1,2.0,4.9,6.9,8.0,9.0,10.5,11.5,53.0
Sumy,25,4,1.0,2.5,6.3,6.7,7.8,8.8,9.7,10.7,52.0
Chernihiv,40,4,1.0,2.5,6.2,6.6,7.6,8.7,9.5,10.5,52.0
Kherson,40,3,1.0,2.2,5.4,5.9,6.8,7.7,8.4,9.3,46.0
Cherkasy,300,5,1.2,1.7,4.3,6.1,7.0,8.0,9.2,10.1,46.0
Rivne,650,6,1.1,1.7,4.2,5.9,6.8,7.7,8.9,9.8,45.0
Vinnytsia,500,5,1.5,1.6,4.0,5.6,6.5,7.4,8.5,9.4,43.0
Kirovohrad,300,4,0.9,1.5,3.7,5.1,5.9,6.7,7.8,8.6,39.0
Zhytomyr,450,4,1.2,1.4,3.4,4.8,5.6,6.3,7.3,8.0,37.0
Khmelnytskyi,600,4,1.2,1.3,3.2,4.5,5.2,5.9,6.8,7.5,34.0
Lviv,900,5,2.5,0.6,1.6,2.2,2.6,2.9,3.4,3.7,17.0
Volyn,800,3,1.0,0.4,0.9,1.3,1.5,1.7,2.0,2.2,10.0
Ternopil,750,3,1.0,0.4,1.0,1.3,1.6,1.8,2.0,2.2,10.0
Ivano-Frankivsk,900,3,1.3,0.4,1.0,1.4,1.6,1.8,2.0,2.3,10.0
Chernivtsi,800,2,0.9,0.3,0.7,1.0,1.1,1.3,1.5,1.7,8.0
Zakarpattia,1000,2,1.2,0.3,0.7,1.0,1.1,1.3,1.5,1.6,8.0
